x_real,y_real
-6222.530371103776,4.947137726703854e-08
-5980.725733027356,6.249522312337914e-08
-5738.921094950936,7.852625266615603e-08
-5497.116456874516,9.814584938787648e-08
-5255.311818798096,1.220205429043479e-07
-5013.507180721676,1.5090863357186305e-07
-4771.7025426452565,1.856661906390314e-07
-4529.897904568837,2.2725218568524318e-07
-4288.093266492417,2.767325240124606e-07
-4046.288628415997,3.352827496716893e-07
-3804.4839903395773,4.0418922610804225e-07
-3562.6793522631574,4.848486344123592e-07
-3320.8747141867375,5.78765684308144e-07
-3079.0700761103176,6.875489975738895e-07
-2837.2654380338977,8.12905196657358e-07
-2595.460799957478,9.566313085882599e-07
-2353.656161881058,1.1206056706039118e-06
-2111.8515238046384,1.3067775929197018e-06
-1870.0468857282185,1.5171560889993223e-06
-1628.2422476517986,1.7537980176366524e-06
-1386.4376095753787,2.018795987800707e-06
-1144.6329714989588,2.314266351347597e-06
-902.8283334225389,2.6423375470632526e-06
-661.023695346119,3.005138961271013e-06
-419.2190572696991,3.404790337670044e-06
-177.41441919327917,3.8433916078260825e-06
64.39021888314073,4.323012833008998e-06
306.19485695956064,4.845683760412902e-06
547.9994950359805,5.413382317604769e-06
789.8041331124005,6.028021215731099e-06
1031.6087711888204,6.691431722812625e-06
1273.4134092652403,7.405343621031404e-06
1515.2180473416602,8.171360391737852e-06
1757.02268541808,8.990928790622063e-06
1998.827323494499,9.86530218936564e-06
2240.63196157092,1.0795497368685204e-05
2482.436599647339,1.1782244842961627e-05
2724.2412377237597,1.28259332626044e-05
2966.0458758001787,1.3926548953186705e-05
3207.8505138765995,1.5083612179687145e-05
3449.6551519530185,1.6296112234226142e-05
3691.4597900294393,1.7562443897940556e-05
3933.2644281058583,1.8880348183406246e-05
4175.069066182279,2.0246860487510956e-05
4416.873704258698,2.1658269346123928e-05
4658.678342335119,2.3110088860461203e-05
4900.482980411538,2.4597047551219698e-05
5142.287618487959,2.611309589394702e-05
5384.092256564378,2.7651434115176495e-05
5625.896894640799,2.920456101461809e-05
5867.701532717218,3.076434366732772e-05
6109.506170793638,3.2322106904119136e-05
6351.310808870057,3.386874052756933e-05
6593.115446946478,3.5394821355911955e-05
6834.920085022897,3.689074645651632e-05
7076.724723099318,3.834687338606097e-05
7318.529361175737,3.975366293615804e-05
7560.333999252158,4.110181981648303e-05
7802.138637328577,4.23824269005453e-05
8043.943275404998,4.358706910177336e-05
8285.747913481417,4.470794361107151e-05
8527.552551557837,4.5737954066462395e-05
8769.357189634256,4.6670787182516096e-05
9011.161827710677,4.750097137449141e-05
9252.966465787096,4.822391789789146e-05
9494.771103863515,4.883594591821536e-05
9736.575741939936,4.933429366462302e-05
9978.380380016355,4.9717118353291914e-05
10220.185018092774,4.998348785553016e-05
10461.989656169195,5.0133367114954114e-05
10703.794294245616,5.016760209002421e-05
10945.598932322036,5.008790353557002e-05
11187.403570398454,4.989683228030535e-05
11429.208208474874,4.959778686229021e-05
11671.012846551295,4.919499351692073e-05
11912.817484627716,4.869349764376028e-05
12154.622122704133,4.8099155080636085e-05
12396.426760780554,4.741862085151507e-05
12638.231398856975,4.6659332583701446e-05
12880.036036933396,4.5829485550074124e-05
13121.840675009813,4.493799630596713e-05
13363.645313086234,4.3994452161307636e-05
13605.449951162655,4.300904424104108e-05
13847.254589239075,4.199248260730699e-05
14089.059227315493,4.0955892797002204e-05
14330.863865391913,3.9910694109007144e-05
14572.668503468334,3.8868460990736986e-05
14814.473141544755,3.7840769856653934e-05
15056.277779621172,3.683903455824044e-05
15298.082417697593,3.587433445996197e-05
15539.887055774014,3.49572396149488e-05
15781.691693850435,3.409763784797707e-05
16023.496331926852,3.330456862830897e-05
16265.300970003273,3.258606845383488e-05
16507.10560807969,3.19490320888401e-05
16748.910246156112,3.139909343194475e-05
16990.714884232533,3.094052907997241e-05
17232.519522308954,3.057618684601694e-05
17474.324160385375,3.0307440636907743e-05
17716.12879846179,3.0134172246620043e-05
17957.93343653821,3.0054779823257117e-05
18199.73807461463,3.0066212055689712e-05
18441.54271269105,3.0164026529558465e-05
18683.34735076747,3.0342470237795438e-05
18925.151988843892,3.0594579903355505e-05
19166.956626920313,3.0912299575991914e-05
19408.761264996734,3.128661288593027e-05
19650.565903073148,3.1707687353382057e-05
19892.37054114957,3.2165028237683447e-05
20134.17517922599,3.264763953543676e-05
20375.97981730241,3.3144189876387325e-05
20617.78445537883,3.3643181195365023e-05
20859.58909345525,3.413311816036579e-05
21101.393731531673,3.460267639940159e-05
21343.198369608093,3.504086758815279e-05
21585.003007684507,3.543719944005295e-05
21826.807645760928,3.578182859010243e-05
22068.61228383735,3.6065704298549814e-05
22310.41692191377,3.6280700839212624e-05
22552.22155999019,3.64197363997985e-05
22794.02619806661,3.647687632786671e-05
23035.83083614303,3.644741862347092e-05
23277.635474219453,3.6327959721618664e-05
23519.440112295866,3.611643883301609e-05
23761.244750372287,3.581215942297349e-05
24003.049388448708,3.5415786802763755e-05
24244.85402652513,3.492932127648e-05
24486.65866460155,3.435604681592287e-05
24728.46330267797,3.370045580873348e-05
24970.26794075439,3.2968151020583456e-05
25212.072578830805,3.2165726508950155e-05
25453.877216907225,3.130062980176359e-05
25695.681854983646,3.03810081877077e-05
25937.486493060067,2.941554243656245e-05
26179.291131136488,2.841327166037756e-05
26421.09576921291,2.7383413324935925e-05
26662.900407289322,2.6335182614375245e-05
26904.705045365743,2.5277615431597853e-05
27146.509683442164,2.4219399277969797e-05
27388.314321518585,2.3168716095697414e-05
27630.118959595005,2.2133100876245375e-05
27871.923597671426,2.111931944251451e-05
28113.728235747847,2.0133268308851477e-05
28355.532873824268,1.917989892238456e-05
28597.33751190068,1.8263167906298485e-05
28839.142149977102,1.738601417868172e-05
29080.946788053523,1.655036303115901e-05
29322.751426129944,1.5757156444427588e-05
29564.556064206365,1.5006408120336933e-05
29806.360702282785,1.4297280951211931e-05
30048.165340359206,1.3628183956138483e-05
30289.969978435627,1.299688511944353e-05
30531.77461651204,1.240063609472645e-05
30773.57925458846,1.1836304410666104e-05
31015.383892664882,1.130050864906956e-05
31257.188530741303,1.0789752071082161e-05
31498.993168817724,1.0300550346220268e-05
31740.797806894145,9.829549384690478e-06
31982.602444970566,9.37362977177385e-06
32224.407083046986,8.929994931522372e-06
32466.2117211234,8.496240876525289e-06
32708.01635919982,8.070406196715467e-06
32949.82099727624,7.651001765445605e-06
33191.62563535266,7.23702045655423e-06
33433.43027342908,6.827927934139856e-06
33675.234911505504,6.423636262816396e-06
33917.039549581925,6.024462661110846e-06
34158.84418765834,5.631076161975075e-06
34400.64882573476,5.244435237632797e-06
34642.45346381118,4.865719585178189e-06
34884.2581018876,4.496259256982249e-06
35126.06273996402,4.137464166488925e-06
35367.86737804044,3.790756722734939e-06
35609.67201611686,3.4575099687266447e-06
35851.476654193284,3.138993146250144e-06
36093.2812922697,2.836326111324419e-06
36335.08593034612,2.5504435089984304e-06
36576.89056842254,2.282069110634016e-06
36818.69520649896,2.0317002452640785e-06
37060.49984457538,1.7996018389561378e-06
37302.3044826518,1.585809227290911e-06
37544.10912072822,1.3901386357158175e-06
37785.91375880464,1.2122040349704766e-06
38027.71839688106,1.0514389733465902e-06
38269.52303495748,9.071219592217257e-07
38511.3276730339,7.784040075451552e-07
38753.13231111032,6.643370616137371e-07
38994.93694918674,5.63902143821422e-07
39236.74158726316,4.760362627222326e-07
39478.54622533958,3.9965729557437124e-07
39720.350863416,3.336862633576381e-07
39962.155501492416,2.770666084347905e-07
40203.96013956884,2.2878026483084564e-07
40445.76477764526,1.8786047092232502e-07
40687.56941572168,1.5340140970744042e-07
40929.3740537981,1.245648703690859e-07
41171.17869187452,1.005842059863684e-07
41412.98332995094,8.076591698796105e-08
41654.787968027355,6.448922047566151e-08
41896.592606103775,5.120397494637333e-08
