x_real,y_real
-2194461.4588220627,4.222766114929618e-10
-2110494.572919328,5.425024387520439e-10
-2026527.6870165942,6.930282069995164e-10
-1942560.8011138598,8.803453014165028e-10
-1858593.9152111255,1.1120306839472884e-09
-1774627.0293083913,1.3968539958316775e-09
-1690660.1434056568,1.7448777722990615e-09
-1606693.2575029226,2.167545745649273e-09
-1522726.3716001883,2.6777535105949454e-09
-1438759.485697454,3.289895221746677e-09
-1354792.5997947198,4.0198795394097e-09
-1270825.7138919854,4.885107790928503e-09
-1186858.8279892511,5.904407324950459e-09
-1102891.9420865169,7.097913355942408e-09
-1018925.0561837824,8.486893269633886e-09
-934958.1702810482,1.009350841923636e-08
-850991.2843783139,1.194050990484254e-08
-767024.3984755797,1.4050866693466828e-08
-683057.5125728454,1.6447326682542424e-08
-599090.626670111,1.9151913889792034e-08
-515123.74076737673,2.2185367797445218e-08
-431156.8548646425,2.5566533895201603e-08
-347189.968961908,2.931171753867109e-08
-263223.0830591738,3.343401623435291e-08
-179256.19715643954,3.794264823111342e-08
-95289.31125370506,4.284229768688348e-08
-11322.425350971054,4.8132498533309106e-08
72644.46055176342,5.380708033397685e-08
156611.3464544979,5.985369979399478e-08
240578.2323572319,6.625348102580617e-08
324545.1182599664,7.298078613704813e-08
408512.0041627004,8.00031351501487e-08
492478.89006543485,8.728129070502662e-08
576445.7759681693,9.47695184998986e-08
660412.6618709033,1.0241602910576875e-07
744379.5477736378,1.1016360081221529e-07
828346.4336763718,1.1795037673598781e-07
912313.3195791063,1.2571082279922812e-07
996280.2054818408,1.3337682664036384e-07
1080247.0913845748,1.4087891135560325e-07
1164213.9772873092,1.4814753248462988e-07
1248180.8631900437,1.5511442214173142e-07
1332147.7490927777,1.6171394091733346e-07
1416114.6349955122,1.678843963556136e-07
1500081.5208982467,1.7356928661405917e-07
1584048.4068009807,1.787184294215244e-07
1668015.2927037152,1.832889396818939e-07
1751982.1786064492,1.8724602394254916e-07
1835949.0645091836,1.9056356629298517e-07
1919915.950411918,1.9322448782659278e-07
2003882.8363146526,1.952208702596423e-07
2087849.7222173861,1.9655384326704637e-07
2171816.6081201206,1.9723324413477018e-07
2255783.494022855,1.9727706699666598e-07
2339750.3799255895,1.9671072678055998e-07
2423717.265828324,1.955661696316205e-07
2507684.1517310585,1.9388086666861446e-07
2591651.037633792,1.9169673120280304e-07
2675617.9235365265,1.890590008540318e-07
2759584.809439261,1.8601512529169254e-07
2843551.6953419955,1.8261369768505522e-07
2927518.58124473,1.7890346355737831e-07
3011485.4671474635,1.7493243489275852e-07
3095452.353050198,1.7074713041871433e-07
3179419.2389529324,1.6639195541405567e-07
3263386.124855667,1.619087266327922e-07
3347353.0107584014,1.5733634045071946e-07
3431319.896661135,1.5271057555888765e-07
3515286.7825638694,1.4806401581332193e-07
3599253.668466604,1.4342607448441174e-07
3683220.5543693383,1.3882309831235188e-07
3767187.440272073,1.3427852853644067e-07
3851154.3261748063,1.2981309638444168e-07
3935121.212077541,1.2544503223845834e-07
4019088.0979802753,1.211902706021444e-07
4103054.9838830098,1.1706263677926881e-07
4187021.869785744,1.1307400549213692e-07
4270988.755688479,1.0923442616181295e-07
4354955.641591212,1.0555221389479378e-07
4438922.527493946,1.0203400906480875e-07
4522889.413396681,9.868481149465348e-08
4606856.299299415,9.550799745649291e-08
4690823.18520215,9.250532892807697e-08
4774790.071104884,8.967696475986809e-08
4858756.957007619,8.702148269724001e-08
4942723.842910353,8.453591970467647e-08
5026690.728813088,8.221583595035228e-08
5110657.614715822,8.005540535859734e-08
5194624.5006185565,7.80475330665281e-08
5278591.386521289,7.618399766409206e-08
5362558.272424024,7.445561396206176e-08
5446525.158326758,7.285241038653257e-08
5530492.044229493,7.136381405472122e-08
5614458.930132227,6.997883619986572e-08
5698425.8160349615,6.868625087753462e-08
5782392.701937696,6.747476074077571e-08
5866359.58784043,6.63331450092634e-08
5950326.473743165,6.525038643470548e-08
6034293.359645899,6.421577591688147e-08
6118260.245548632,6.321899528124484e-08
6202227.131451368,6.225018042786089e-08
6286194.017354103,6.129996846171525e-08
6370160.903256835,6.035953340700492e-08
6454127.78915957,5.9420615622706336e-08
6538094.675062304,5.847555004577481e-08
6622061.560965039,5.7517297906448844e-08
6706028.446867773,5.653948564098855e-08
6789995.332770508,5.5536453457144645e-08
6873962.218673242,5.450331449745687e-08
6957929.104575977,5.343602392045618e-08
7041895.990478711,5.233145560986e-08
7125862.876381446,5.118748275152081e-08
7209829.76228418,5.000305729792328e-08
7293796.648186913,4.87782824601595e-08
7377763.534089647,4.7514471891244116e-08
7461730.419992382,4.6214189187100674e-08
7545697.305895116,4.4881261737555584e-08
7629664.191797851,4.352076378569133e-08
7713631.077700585,4.2138964750762504e-08
7797597.96360332,4.074324036700292e-08
7881564.849506054,3.9341945901261454e-08
7965531.735408789,3.7944252539215754e-08
8049498.621311523,3.655994987104302e-08
8133465.507214256,3.519921916214842e-08
8217432.39311699,3.387238366861248e-08
8301399.279019725,3.2589643567356166e-08
8385366.164922459,3.1360804049654404e-08
8469333.050825194,3.019500572369313e-08
8553299.936727928,2.9100466657625808e-08
8637266.822630662,2.808424516048202e-08
8721233.708533397,2.7152031756911527e-08
8805200.594436131,2.630797779585367e-08
8889167.480338866,2.555456679371891e-08
8973134.3662416,2.4892533015775065e-08
9057101.252144333,2.432083002306073e-08
9141068.138047067,2.3836650041703347e-08
9225035.023949802,2.343549313530014e-08
9309001.909852536,2.3111283365504102e-08
9392968.79575527,2.285652749120136e-08
9476935.681658005,2.266251035212107e-08
9560902.56756074,2.2519519963712796e-08
9644869.453463474,2.241709455524335e-08
9728836.339366209,2.234428333260649e-08
9812803.225268943,2.2289912642945833e-08
9896770.111171676,2.2242849443665486e-08
9980736.99707441,2.2192254501631277e-08
10064703.882977145,2.212781852419596e-08
10148670.76887988,2.2039975397512055e-08
10232637.654782614,2.1920087819377942e-08
10316604.540685348,2.1760601802209543e-08
10400571.426588083,2.155516772780562e-08
10484538.312490817,2.1298726806470686e-08
10568505.198393552,2.098756288443478e-08
10652472.084296286,2.0619320521324603e-08
10736438.97019902,2.019299110072969e-08
10820405.856101753,1.9708869429592925e-08
10904372.742004488,1.9168483824032315e-08
10988339.627907222,1.857450307625351e-08
11072306.513809957,1.7930623961490457e-08
11156273.399712691,1.7241443091232997e-08
11240240.285615426,1.6512316966701743e-08
11324207.17151816,1.5749214051507332e-08
11408174.057420895,1.4958562579622447e-08
11492140.943323629,1.4147097656215385e-08
11576107.829226363,1.3321711003269278e-08
11660074.715129098,1.248930645484968e-08
11744041.60103183,1.1656664021523557e-08
11828008.486934565,1.0830315021408178e-08
11911975.3728373,1.0016430417888674e-08
11995942.258740034,9.220724113176451e-09
12079909.144642768,8.448372526265382e-09
12163876.030545503,7.703951339514423e-09
12247842.916448237,6.991389838747083e-09
12331809.802350972,6.313942808680623e-09
12415776.688253706,5.674179492058553e-09
12499743.57415644,5.073988691750442e-09
12583710.460059175,4.514598705308183e-09
12667677.345961908,3.996610445231764e-09
12751644.231864642,3.5200418278123834e-09
12835611.117767377,3.084381318339597e-09
12919578.003670111,2.6886484065431067e-09
13003544.889572846,2.331458755210658e-09
13087511.77547558,2.011091814642058e-09
13171478.661378315,1.7255588196751659e-09
13255445.54728105,1.4726692747020806e-09
13339412.433183784,1.2500942729095722e-09
13423379.319086518,1.0554252746189136e-09
13507346.20498925,8.862272708948699e-10
13591313.090891985,7.400855674664368e-10
13675279.97679472,6.146457263531943e-10
13759246.862697454,5.076464860342164e-10
13843213.748600189,4.169457354084096e-10
13927180.634502923,3.4053983466035275e-10
14011147.520405658,2.765767526913688e-10
14095114.406308392,2.2336362390905063e-10
14179081.292211127,1.7936941725217148e-10
14263048.178113861,1.4322345982308494e-10
14347015.064016595,1.1371057052791336e-10
14430981.949919328,8.976354098673253e-11
14514948.835822063,7.04536576693643e-11
